,0
0,Connecticut
1,Delaware
2,Indiana
3,Kentucky
4,Louisiana
5,Maine
6,Minnesota
7,Missouri
8,Montana
9,Nebraska
10,New Hampshire
11,Oklahoma
12,Pennsylvania
13,Rhode Island
14,Tennessee
15,Utah
16,Vermont
17,Virginia
18,West Virginia
